Category,Chromosome Pair,Count
A1,1st pair chromosome,34
A2,2nd pair chromosome,34
A3,3rd pair chromosome,34
B4,4th pair chromosome,34
B5,5th pair chromosome,36
C6,6th pair chromosome,37
C7,7th pair chromosome,34
C8,8th pair chromosome,34
C9,9th pair chromosome,34
C10,10th pair chromosome,36
C11,11th pair chromosome,34
C12,12th pair chromosome,40
D13,13th pair chromosome,36
D14,14th pair chromosome,36
D15,15th pair chromosome,35
E16,16th pair chromosome,34
E17,17th pair chromosome,34
E18,18th pair chromosome,41
F19,19th pair chromosome,47
F20,20th pair chromosome,33
G21,21st pair chromosome,46
G22,22nd pair chromosome,45
X,X chromosome,34
Y,Y chromosome,9
